"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
"1",368126820,2023-09-12 00:00:02,38.36171,-75.61351,0,331,2,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"2",368260710,2023-09-12 00:00:05,38.6364,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"3",368126820,2023-09-12 00:01:12,38.36171,-75.61351,0,331,2,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"4",368260710,2023-09-12 00:02:26,38.63639,-75.61481,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"5",368126820,2023-09-12 00:02:22,38.36171,-75.61352,0,331,2,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"6",368260710,2023-09-12 00:01:16,38.63641,-75.61481,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"7",368126820,2023-09-12 00:03:53,38.36171,-75.61352,0,331,2,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"8",368260710,2023-09-12 00:04:45,38.63641,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"9",368260710,2023-09-12 00:03:35,38.63638,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"10",368126820,2023-09-12 00:06:12,38.36171,-75.61351,0,331,2,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"11",368126820,2023-09-12 00:05:03,38.36171,-75.61352,0,331,2,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"12",367492140,2023-09-12 00:07:55,38.24448,-75.85135,0,335.9,511,"LEXINGTON",NA,"WDF8172",90,NA,48,11,NA,NA,"B"
"13",368260710,2023-09-12 00:05:54,38.6364,-75.61481,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"14",368126820,2023-09-12 00:07:23,38.36171,-75.61351,0,331,2,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"15",368126820,2023-09-12 00:08:33,38.36171,-75.61351,0,331,2,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"16",368260710,2023-09-12 00:09:35,38.63639,-75.61483,0,313,28,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"17",368260710,2023-09-12 00:10:45,38.6364,-75.61484,0,313,28,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"18",368126820,2023-09-12 00:10:53,38.36171,-75.61351,0,331,1,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"19",368126820,2023-09-12 00:09:42,38.36171,-75.61351,0,331,2,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"20",368260710,2023-09-12 00:12:16,38.6364,-75.61484,0,313,28,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"21",368126820,2023-09-12 00:12:02,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"22",367492140,2023-09-12 00:13:55,38.24448,-75.85135,0,335.9,511,"LEXINGTON",NA,"WDF8172",90,NA,48,11,NA,NA,"B"
"23",368260710,2023-09-12 00:07:05,38.63639,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"24",368126820,2023-09-12 00:14:23,38.36172,-75.61351,0,331,359,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"25",368260710,2023-09-12 00:13:24,38.63639,-75.61484,0,313,28,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"26",368260710,2023-09-12 00:14:56,38.6364,-75.61484,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"27",368260710,2023-09-12 00:16:05,38.63639,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"28",368126820,2023-09-12 00:15:34,38.36172,-75.61351,0,331,359,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"29",368126820,2023-09-12 00:13:13,38.36172,-75.61351,0,331,359,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"30",368126820,2023-09-12 00:16:42,38.36172,-75.61351,0,331,359,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"31",368260710,2023-09-12 00:17:44,38.6364,-75.61482,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"32",368260710,2023-09-12 00:08:25,38.6364,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"33",367492140,2023-09-12 00:19:56,38.24448,-75.85135,0,335.9,511,"LEXINGTON",NA,"WDF8172",90,NA,48,11,NA,NA,"B"
"34",368126820,2023-09-12 00:17:52,38.36172,-75.61351,0,331,359,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"35",368260710,2023-09-12 00:18:54,38.63638,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"36",368126820,2023-09-12 00:20:23,38.36172,-75.61351,0,331,359,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"37",368260710,2023-09-12 00:22:26,38.6364,-75.61481,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"38",368126820,2023-09-12 00:22:43,38.36172,-75.61351,0,331,359,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"39",368260710,2023-09-12 00:23:34,38.6364,-75.61484,0,313,30,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"40",368126820,2023-09-12 00:23:52,38.36172,-75.61351,0,331,359,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"41",367492140,2023-09-12 00:22:56,38.24448,-75.85136,0,335.9,511,"LEXINGTON",NA,"WDF8172",90,NA,48,11,NA,NA,"B"
"42",368260710,2023-09-12 00:25:55,38.63641,-75.61484,0,313,30,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"43",368126820,2023-09-12 00:27:13,38.36171,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"44",368126820,2023-09-12 00:25:02,38.36172,-75.61351,0,331,359,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"45",368260710,2023-09-12 00:27:05,38.63639,-75.61482,0,313,30,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"46",368260710,2023-09-12 00:29:05,38.63638,-75.61482,0,313,30,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"47",368126820,2023-09-12 00:26:12,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"48",368260710,2023-09-12 00:30:14,38.63639,-75.61485,0,313,30,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"49",368126820,2023-09-12 00:29:42,38.36171,-75.61351,0,331,1,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"50",368260710,2023-09-12 00:32:44,38.63639,-75.61482,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"51",368260710,2023-09-12 00:33:55,38.6364,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"52",368260710,2023-09-12 00:31:35,38.63638,-75.61481,0,313,30,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"53",368126820,2023-09-12 00:31:54,38.36171,-75.61351,0,331,2,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"54",368126820,2023-09-12 00:34:14,38.36171,-75.61351,0,331,1,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"55",368260710,2023-09-12 00:36:06,38.63639,-75.61482,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"56",368126820,2023-09-12 00:33:03,38.36171,-75.61351,0,331,1,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"57",367492140,2023-09-12 00:34:56,38.24448,-75.85136,0,335.9,511,"LEXINGTON",NA,"WDF8172",90,NA,48,11,NA,NA,"B"
"58",368260710,2023-09-12 00:35:05,38.6364,-75.61482,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"59",368126820,2023-09-12 00:35:23,38.36171,-75.61351,0,331,1,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"60",368126820,2023-09-12 00:36:33,38.36171,-75.61351,0,331,1,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"61",368260710,2023-09-12 00:39:45,38.63641,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"62",368126820,2023-09-12 00:38:53,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"63",368126820,2023-09-12 00:40:02,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"64",368260710,2023-09-12 00:38:35,38.6364,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"65",368126820,2023-09-12 00:37:42,38.36171,-75.61351,0,331,1,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"66",367492140,2023-09-12 00:40:56,38.24448,-75.85136,0,335.9,511,"LEXINGTON",NA,"WDF8172",90,NA,48,11,NA,NA,"B"
"67",368260710,2023-09-12 00:42:16,38.63641,-75.61482,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"68",368260710,2023-09-12 00:41:04,38.63639,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"69",368126820,2023-09-12 00:42:23,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"70",368126820,2023-09-12 00:41:13,38.36172,-75.61351,0,331,359,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"71",368260710,2023-09-12 00:43:25,38.63638,-75.61482,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"72",368260710,2023-09-12 00:44:34,38.63639,-75.61481,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"73",368126820,2023-09-12 00:44:42,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"74",367492140,2023-09-12 00:46:55,38.24448,-75.85135,0,335.9,511,"LEXINGTON",NA,"WDF8172",90,NA,48,11,NA,NA,"B"
"75",368126820,2023-09-12 00:46:53,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"76",368260710,2023-09-12 00:45:55,38.63639,-75.61481,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"77",368260710,2023-09-12 00:47:15,38.6364,-75.61485,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"78",367492140,2023-09-12 00:49:56,38.24448,-75.85136,0,335.9,511,"LEXINGTON",NA,"WDF8172",90,NA,48,11,NA,NA,"B"
"79",368260710,2023-09-12 00:48:25,38.63639,-75.61481,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"80",368260710,2023-09-12 00:51:26,38.6364,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"81",368126820,2023-09-12 00:49:12,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"82",368126820,2023-09-12 00:51:32,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"83",368126820,2023-09-12 00:52:43,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"84",368260710,2023-09-12 00:54:15,38.6364,-75.61481,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"85",368126820,2023-09-12 00:53:53,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"86",368126820,2023-09-12 00:50:22,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"87",368126820,2023-09-12 00:56:23,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"88",367492140,2023-09-12 00:55:56,38.24448,-75.85135,0,335.9,511,"LEXINGTON",NA,"WDF8172",90,NA,48,11,NA,NA,"B"
"89",368260710,2023-09-12 00:55:24,38.63636,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"90",368260710,2023-09-12 00:56:55,38.63638,-75.61481,0,313,30,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"91",368260710,2023-09-12 00:52:54,38.63642,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"92",368126820,2023-09-12 00:58:53,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"93",368260710,2023-09-12 00:58:05,38.63642,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"94",368126820,2023-09-12 00:55:03,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"95",368260710,2023-09-12 00:59:25,38.63639,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"96",368126820,2023-09-12 01:01:23,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"97",368126820,2023-09-12 01:02:32,38.36171,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"98",368260710,2023-09-12 01:02:54,38.63638,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"99",368260710,2023-09-12 01:04:05,38.63637,-75.61483,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"100",368260710,2023-09-12 01:00:05,38.63639,-75.61481,0,313,29,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"101",368126820,2023-09-12 01:00:02,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
"102",368260710,2023-09-12 01:05:15,38.6364,-75.61483,0,313,28,"THOR",NA,"WDN2293",99,0,24,9,3,52,"A"
"103",368126820,2023-09-12 01:05:13,38.36172,-75.61351,0,331,0,"ANNAPOLIS",NA,"WDL3968",52,0,30,12,2.8,52,"A"
