TargetName,TL (m),Lat,Lon,E,N,SonarDateTime,,Pass
ATS090821_20_22,2.2,38.690803,-75.770999,432947.8,4282747.6,9/8/2021 14:46,,1
ATS090821_17_14,1.4,38.632011,-75.817949,428806.4,4276259,9/8/2021 13:41,,1
ATS090821_16_20,2,38.630906,-75.819413,428677.9,4276137.6,9/8/2021 13:39,,1
ATS090821_15_16,1.6,38.625813,-75.819242,428687.7,4275572.3,9/8/2021 13:35,,1
ATS090821_14_21,2.1,38.616786,-75.823017,428350.2,4274573.5,9/8/2021 13:27,,1
ATS090821_13_15,1.5,38.607141,-75.82327,428318.5,4273503.4,9/8/2021 13:20,,1
ATS090821_12_21,2.1,38.604918,-75.823726,428276.6,4273257.1,9/8/2021 13:18,,1
ATS090821_11_15,1.5,38.602066,-75.822396,428389.6,4272939.6,9/8/2021 13:15,,1
ATS090821_10_15,1.5,38.597956,-75.813307,429177,4272476.5,9/8/2021 13:08,,1
ATS090821_09_16_nadir,1.6,38.595453,-75.812726,429225.1,4272198.3,9/8/2021 13:06,,1
ATS090821_08_14,1.4,38.589388,-75.801969,430156,4271517,9/8/2021 12:57,,1
ATS090821_07_14,1.4,38.58258,-75.795782,430688.3,4270756.9,9/8/2021 12:49,,1
ATS090821_06_15,1.5,38.578306,-75.795539,430705.4,4270282.4,9/8/2021 12:46,,1
ATS090821_05_19,1.9,38.572789,-75.779971,432056.2,4269658.7,9/8/2021 12:33,,1
ATS090821_04_16,1.6,38.562601,-75.771644,432772.1,4268522,9/8/2021 12:21,,1
ATS090821_03_15,1.5,38.54806,-75.770052,432897.3,4266907.3,9/8/2021 12:04,,1
ATS090821_02_14,1.4,38.54068,-75.759668,433795.4,4266080.9,9/8/2021 11:54,,1
ATS090821_01_20_nadir,2,38.538843,-75.757941,433944.2,4265875.8,9/8/2021 11:52,,1
ATS090821_22_21,2.1,38.655446,-75.802869,430141.8,4278847.9,9/8/2021 15:28,,2
ATS090821_23_19,1.9,38.644187,-75.810664,429452.4,4277604.5,9/8/2021 15:39,,2
ATS090821_24_15,1.5,38.631099,-75.818708,428739.4,4276158.4,9/8/2021 15:50,,2
ATS090821_26_21,2.1,38.622512,-75.819635,428650.2,4275206.3,9/8/2021 15:57,,2
ATS090821_27_21,2.1,38.622021,-75.819156,428691.4,4275151.3,9/8/2021 15:57,,2
ATS090821_28_15,1.5,38.619103,-75.820199,428597.8,4274828.4,9/8/2021 15:59,,2
ATS090821_29_14,1.4,38.617124,-75.822317,428411.4,4274610.5,9/8/2021 16:01,,2
ATS090821_30_16,1.6,38.616795,-75.822986,428352.8,4274574.4,9/8/2021 16:01,,2
ATS090821_31_16,1.6,38.614666,-75.823244,428328.3,4274338.4,9/8/2021 16:03,,2
ATS090821_33_15,1.5,38.595764,-75.812763,429222.2,4272232.9,9/8/2021 16:19,,2
ATS090821_35_14,1.4,38.595379,-75.812308,429261.4,4272189.7,9/8/2021 16:20,,2
ATS090821_34_15,1.5,38.595325,-75.812338,429258.8,4272183.7,9/8/2021 16:20,,2
ATS090821_36_15_nadir,1.5,38.591401,-75.807542,429672.6,4271744.6,9/8/2021 16:24,,2
ATS090821_37_19,1.9,38.583875,-75.796535,430624,4270901.1,9/8/2021 16:32,,2
ATS090821_39_23,2.3,38.582395,-75.796138,430657.1,4270736.6,9/8/2021 16:33,,2
ATS090821_38_16,1.6,38.58233,-75.796174,430653.9,4270729.4,9/8/2021 16:33,,2
ATS090821_40_16,1.6,38.578227,-75.795655,430695.2,4270273.7,9/8/2021 16:36,,2
ATS090821_41_16,1.6,38.577248,-75.794501,430794.8,4270164.3,9/8/2021 16:37,,2
ATS090821_42_18,1.8,38.574688,-75.786294,431507.2,4269874,9/8/2021 16:43,,2
ATS090821_43_18,1.8,38.569607,-75.779157,432124.2,4269304.9,9/8/2021 16:49,,2
ATS090821_44_15,1.5,38.546784,-75.765327,433307.9,4266762.3,9/8/2021 17:16,,2
ATS090821_45_15,1.5,38.546567,-75.764823,433351.6,4266737.8,9/8/2021 17:16,,2
